day	hour	value
1	1	120
2	1	82
3	1	60
4	1	84
5	1	97
6	1	166
7	1	113
1	2	36
2	2	33
3	2	33
4	2	20
5	2	35
6	2	68
7	2	41
1	3	15
2	3	5
3	3	18
4	3	41
5	3	10
6	3	25
7	3	58
1	4	21
2	4	16
3	4	9
4	4	22
5	4	14
6	4	12
7	4	76
1	5	9
2	5	19
3	5	17
4	5	18
5	5	9
6	5	12
7	5	30
1	6	11
2	6	46
3	6	20
4	6	26
5	6	18
6	6	20
7	6	21
1	7	11
2	7	53
3	7	80
4	7	35
5	7	54
6	7	61
7	7	40
1	8	24
2	8	215
3	8	176
4	8	214
5	8	203
6	8	195
7	8	74
1	9	69
2	9	285
3	9	554
4	9	588
5	9	376
6	9	340
7	9	84
1	10	137
2	10	739
3	10	692
4	10	1046
5	10	862
6	10	621
7	10	210
1	11	118
2	11	551
3	11	423
4	11	475
5	11	404
6	11	601
7	11	248
1	12	194
2	12	507
3	12	630
4	12	605
5	12	438
6	12	535
7	12	223
1	13	236
2	13	536
3	13	538
4	13	618
5	13	642
6	13	457
7	13	261
1	14	222
2	14	676
3	14	748
4	14	735
5	14	531
6	14	716
7	14	267
1	15	200
2	15	1091
3	15	1755
4	15	1567
5	15	1559
6	15	1495
7	15	177
1	16	347
2	16	572
3	16	637
4	16	706
5	16	765
6	16	732
7	16	174
1	17	183
2	17	452
3	17	433
4	17	445
5	17	509
6	17	440
7	17	197
1	18	256
2	18	281
3	18	334
4	18	326
5	18	519
6	18	397
7	18	205
1	19	223
2	19	325
3	19	349
4	19	415
5	19	471
6	19	351
7	19	166
1	20	292
2	20	460
3	20	531
4	20	460
5	20	473
6	20	263
7	20	152
1	21	366
2	21	463
3	21	523
4	21	485
5	21	444
6	21	243
7	21	203
1	22	298
2	22	523
3	22	354
4	22	410
5	22	461
6	22	283
7	22	176
1	23	188
2	23	240
3	23	314
4	23	339
5	23	340
6	23	209
7	23	208
1	24	170
2	24	157
3	24	204
4	24	197
5	24	218
6	24	182
7	24	203
